Name	Id	Birth Date	Birth Place	Age	Height	Nationality	Position	Foot	Joined	Contract Length	img
Seung dae kim	260183	None	Pohang	29	1,76 m	Korea, South	Centre-Forward	None	Jan 10, 2020	31.12.2020	https://tmssl.akamaized.net/images/portrait/header/260183-1588755392.jpg?lm=1588755407
Takahiro kunimoto	296782	None	Kitakyushu, Fukuoka	22	1,72 m	Japan	Central Midfield	None	Jan 9, 2020	-	https://tmssl.akamaized.net/images/portrait/header/296782-1584689163.jpg?lm=1584689171
Gue sung jo	652537	None	None	22	1,88 m	Korea, South	Centre-Forward	None	Jan 29, 2020	-	https://tmssl.akamaized.net/images/portrait/header/652537-1584689062.jpg?lm=1584689074
Lars veldwijk	175912	None	Uithoorn	28	1,96 m	South Africa	Centre-Forward	None	Jan 15, 2020	31.12.2021	https://tmssl.akamaized.net/images/portrait/header/175912-1584688998.jpg?lm=1584689026
Kyung won kwon	260189	None	Seoul	28	1,88 m	Korea, South	Centre-Back	None	Dec 23, 2019	31.12.2021	https://tmssl.akamaized.net/images/portrait/header/260189-1523621695.jpg?lm=1523621710
Murilo henrique	333857	None	Jataí	25	1,77 m	Brazil	Attacking Midfield	None	Feb 4, 2020	-	https://tmssl.akamaized.net/images/portrait/header/333857-1584689041.jpg?lm=1584689049
Hee won choi	630166	None	None	21	1,85 m	Korea, South	None	None	Jan 1, 2020	-	https://tmssl.akamaized.net/images/portrait/header/630166-1584688848.jpg?lm=1584688864
Ja ryong koo	263835	None	Wanju, Jeollabuk	28	1,84 m	Korea, South	Centre-Back	None	Jan 6, 2020	-	https://tmssl.akamaized.net/images/portrait/header/263835-1584689140.jpg?lm=1584689150
Jung ho hong	126638	None	Jeju City, Jeju	30	1,86 m	Korea, South	Centre-Back	None	Jan 13, 2020	-	https://tmssl.akamaized.net/images/portrait/header/126638-1584689427.jpg?lm=1584689437
Bo kyung kim	128375	None	Gurye, Jeollanam	30	1,78 m	Korea, South	Attacking Midfield	None	Jan 5, 2020	-	https://tmssl.akamaized.net/images/portrait/header/128375-1584689092.jpg?lm=1584689101
Ban suk oh	221889	None	Gwacheon, Gyeonggi	32	1,89 m	Korea, South	Centre-Back	None	Jan 3, 2020	-	https://tmssl.akamaized.net/images/portrait/header/221889-1584688876.jpg?lm=1584688889
Soo bin lee	641646	None	None	20	1,80 m	Korea, South	Defensive Midfield	None	Jan 8, 2020	31.12.2020	https://tmssl.akamaized.net/images/portrait/header/641646-1584689585.jpg?lm=1584689592
Samuel	214096	None	São Borja	29	1,86 m	Brazil	Centre-Forward	None	Jan 12, 2020	30.06.2020	https://tmssl.akamaized.net//bilder/spielerfotos/s_214096_2462_2012_1.jpg?lm=0
Tiago alves	177011	None	São João do ...	27	1,81 m	Brazil	Left Winger	None	Jan 17, 2020	31.01.2021	https://tmssl.akamaized.net//bilder/spielerfotos/s_177011_2863_2012_2.jpg?lm=0
Keun ho lee	292261	None	None	24	1,85 m	Korea, South	Centre-Forward	None	Jan 16, 2020	23.06.2021	https://tmssl.akamaized.net/images/portrait/header/default.jpg?lm=1455618221
Yun ho jang	379443	None	None	23	1,78 m	Korea, South	Defensive Midfield	None	Jan 1, 2015	-	https://tmssl.akamaized.net/images/portrait/header/379443-1567281436.jpg?lm=1567281933
Yeong chan kim	260185	None	Suwon	26	1,89 m	Korea, South	Centre-Back	None	Jan 15, 2020	-	https://tmssl.akamaized.net/images/portrait/header/379443-1567281436.jpg?lm=1567281933
Moo yol go	181669	None	Yeonje District, ...	29	1,85 m	Korea, South	Centre-Forward	None	Jan 5, 2020	-	https://tmssl.akamaized.net/images/portrait/header/default.jpg?lm=1455618221
Jun jae myeong	426123	None	None	25	1,74 m	Korea, South	Left Winger	None	Jan 3, 2020	-	https://tmssl.akamaized.net/images/portrait/header/426123-1589994554.jpg?lm=1589994647
