Name	Id	Birth Date	Birth Place	Age	Height	Nationality	Position	Foot	Joined	Contract Length	img
Antoine griezmann	125781	None	Mâcon	29	1,76 m	France	Second Striker	None	Jul 14, 2019	30.06.2024	https://tmssl.akamaized.net/images/portrait/header/125781-1564143733.jpg?lm=1564143749
Frenkie de jong	326330	None	Arkel	23	1,81 m	Netherlands	Central Midfield	None	Jul 1, 2019	30.06.2024	https://tmssl.akamaized.net/images/portrait/header/326330-1497885202.jpg?lm=1497885221
Neto	111819	None	Araxá	30	1,90 m	Brazil	Goalkeeper	None	Jul 1, 2019	30.06.2023	https://tmssl.akamaized.net/images/portrait/header/111819-1448463847.jpg?lm=1448463862
Martin braithwaite	95732	None	Esbjerg	28	1,77 m	Denmark	Centre-Forward	None	Feb 20, 2020	30.06.2024	https://tmssl.akamaized.net/images/portrait/header/95732-1583334177.jpg?lm=1583334376
Júnior firpo	374139	None	Santo Domingo de ...	23	1,84 m	Spain	Left-Back	None	Aug 4, 2019	30.06.2024	https://tmssl.akamaized.net/images/portrait/header/374139-1528960946.jpg?lm=1528960958
Emerson	476344	None	São Paulo	21	1,83 m	Brazil	Right-Back	None	Jul 2, 2019	30.06.2021	https://tmssl.akamaized.net/images/portrait/header/476344-1553782032.jpg?lm=1553782046
Marc cucurella	284857	None	Alella	21	1,75 m	Spain	Left Midfield	None	Jul 18, 2019	30.06.2020	https://tmssl.akamaized.net/images/portrait/header/284857-1525074875.jpg?lm=1525074895
Arda turan	21369	None	Istanbul	33	1,77 m	Turkey	Left Winger	None	Jul 6, 2015	30.06.2020	https://tmssl.akamaized.net/images/portrait/header/21369-1515403225.jpg?lm=1515403249
Carles pérez	282810	None	Granollers	22	1,73 m	Spain	Right Winger	None	Jan 30, 2020	30.06.2024	https://tmssl.akamaized.net/images/portrait/header/282810-1566761956.jpg?lm=1566761984
Ansu fati	466810	None	Bissau	17	1,78 m	Spain	Left Winger	None	Aug 1, 2019	30.06.2022	https://tmssl.akamaized.net/images/portrait/header/466810-1560761660.jpg?lm=1560761677
Oriol busquets	282721	None	Sant Feliu de ...	21	1,85 m	Spain	Defensive Midfield	None	Aug 27, 2019	30.06.2020	https://tmssl.akamaized.net/images/portrait/header/282721-1527584622.jpg?lm=1527584629
Juan miranda	341227	None	Olivares	20	1,85 m	Spain	Left-Back	None	Aug 30, 2019	30.06.2021	https://tmssl.akamaized.net/images/portrait/header/341227-1558432765.jpg?lm=1558432779
Moussa wagué	364240	None	Bignona	21	1,77 m	Senegal	Right-Back	None	Jan 31, 2020	30.06.2020	https://tmssl.akamaized.net/images/portrait/header/364240-1503068100.jpg?lm=1503068143
Marc cardona	443222	None	Lleida	24	1,83 m	Spain	Centre-Forward	None	Jul 1, 2019	30.06.2023	https://tmssl.akamaized.net/images/portrait/header/443222-1532074440.jpg?lm=1532074455
