Player Id	Season	Fee	Market Value	Team A	Team B	ID Team A	ID Team B
125781	19/20	€120.00m	€130.00m	Atlético Madrid	FC Barcelona	13	131
125781	14/15	€54.00m	€30.00m	Real Sociedad	Atlético Madrid	681	13
125781	09/10	-	-	Real Sociedad B	Real Sociedad	9899	681
125781	09/10	-	-	R. Sociedad U19	Real Sociedad B	9900	9899
125781	08/09	-	-	Real Sociedad Y	R. Sociedad U19	14967	9900
125781	05/06	Free transfer	-	Maconnais	Real Sociedad Y	23360	14967
326330	19/20	€75.00m	€85.00m	Ajax	FC Barcelona	610	131
326330	16/17	-	€600Th.	Ajax U21	Ajax	8817	610
326330	15/16	End of loan	€400Th.	Willem II	Ajax U21	403	8817
326330	15/16	Loan	€250Th.	Ajax U21	Willem II	8817	403
326330	15/16	€10.13m	€250Th.	Willem II U21	Ajax U21	9005	8817
326330	14/15	-	-	Willem II U17	Willem II U21	53474	9005
111819	19/20	€26.00m	€18.00m	Valencia	FC Barcelona	1049	131
111819	17/18	€7.00m	€6.00m	Juventus	Valencia	506	1049
111819	15/16	Free transfer	€9.00m	Fiorentina	Juventus	430	506
111819	10/11	€3.50m	€1.80m	Atlético-PR	Fiorentina	679	430
111819	08/09	-	-	Atlético-PR B	Atlético-PR	16656	679
95732	19/20	€18.00m	€10.00m	CD Leganés	FC Barcelona	1244	131
95732	19/20	€5.00m	€8.00m	Middlesbrough	CD Leganés	641	1244
95732	18/19	End of loan	€8.00m	CD Leganés	Middlesbrough	1244	641
95732	18/19	Loan	€8.00m	Middlesbrough	CD Leganés	641	1244
95732	17/18	End of loan	€8.00m	G. Bordeaux	Middlesbrough	40	641
95732	17/18	Loan	€7.50m	Middlesbrough	G. Bordeaux	641	40
95732	17/18	€11.30m	€7.50m	Toulouse	Middlesbrough	415	641
95732	13/14	€2.00m	€850Th.	Esbjerg fB	Toulouse	3426	415
95732	09/10	-	-	Esbjerg fB U19	Esbjerg fB	14349	3426
95732	07/08	Free transfer	-	FCM Youth	Esbjerg fB U19	52879	14349
95732	07/08	Free transfer	-	Esbjerg Youth	FCM Youth	11253	52879
374139	19/20	€18.00m	€25.00m	Real Betis	FC Barcelona	150	131
374139	17/18	-	€100Th.	Betis B	Real Betis	2865	150
374139	15/16	-	-	Betis U19	Betis B	40422	2865
374139	14/15	Free transfer	-	Malagueño U19	Betis U19	72087	40422
476344	20/21	End of loan	€18.00m	Real Betis	FC Barcelona	150	131
476344	19/20	Loan fee:	€3.00m	FC Barcelona	Real Betis	131	150
476344	19/20	€12.00m	€3.00m	Atlético-MG	FC Barcelona	330	131
476344	18/19	End of loan	€3.00m	Real Betis	Atlético-MG	150	330
476344	18/19	Loan	€50Th.	Atlético-MG	Real Betis	330	150
476344	17/18	€1.18m	€50Th.	Ponte Preta	Atlético-MG	1134	330
476344	16/17	-	-	Ponte Preta U20	Ponte Preta	16805	1134
284857	19/20	End of loan	€18.00m	Getafe	FC Barcelona	3709	131
