Name	Id	Birth Date	Birth Place	Age	Height	Nationality	Position	Foot	Joined	Contract Length	img
Lucas hernández	281963	None	Marseille	24	1,82 m	France	Centre-Back	None	Jul 1, 2019	30.06.2024	https://tmssl.akamaized.net/images/portrait/header/281963-1569907038.jpg?lm=1569907055
Benjamin pavard	353366	None	Maubeuge	24	1,86 m	France	Right-Back	None	Jul 1, 2019	30.06.2024	https://tmssl.akamaized.net/images/portrait/header/353366-1570372796.jpg?lm=1570372815
Michaël cuisance	344600	None	Straßburg	20	1,81 m	France	Central Midfield	None	Aug 18, 2019	30.06.2024	https://tmssl.akamaized.net/images/portrait/header/344600-1570373232.jpg?lm=1570373246
Philippe coutinho	80444	None	Rio de Janeiro	27	1,72 m	Brazil	Attacking Midfield	None	Aug 19, 2019	30.06.2020	https://tmssl.akamaized.net/images/portrait/header/80444-1570373072.jpg?lm=1570373083
Ivan perisic	42460	None	Split	31	1,87 m	Croatia	Left Winger	None	Aug 13, 2019	30.06.2020	https://tmssl.akamaized.net/images/portrait/header/42460-1570373091.jpg?lm=1570373106
Fiete arp	343337	None	Bad Segeberg	20	1,84 m	Germany	Centre-Forward	None	Jul 1, 2019	30.06.2024	https://tmssl.akamaized.net/images/portrait/header/343337-1570373139.jpg?lm=1570373154
Álvaro odriozola	280730	None	San Sebastián	24	1,76 m	Spain	Right-Back	None	Jan 22, 2020	30.06.2020	https://tmssl.akamaized.net/images/portrait/header/280730-1579598607.jpg?lm=1579598621
Adrian fein	379979	None	München	21	1,86 m	Germany	Defensive Midfield	None	Jul 2, 2019	30.06.2020	https://tmssl.akamaized.net/images/portrait/header/379979-1568206797.jpg?lm=1568206817
Lars lukas mai	345780	None	Dresden	20	1,90 m	Germany	Centre-Back	None	Jul 1, 2019	30.06.2022	https://tmssl.akamaized.net/images/portrait/header/345780-1570373016.jpg?lm=1570373028
Marco friedl	156990	None	Kirchbichl	22	1,87 m	Austria	Centre-Back	None	Jul 1, 2019	30.06.2022	https://tmssl.akamaized.net/images/portrait/header/156990-1535123747.jpg?lm=1535123833
Mats hummels	39728	None	Bergisch Gladbach	31	1,91 m	Germany	Centre-Back	None	Jul 1, 2019	30.06.2022	https://tmssl.akamaized.net/images/portrait/header/39728-1540568020.jpg?lm=1540568039
Renato sanches	258027	None	Lissabon	22	1,76 m	Portugal	Central Midfield	None	Aug 23, 2019	30.06.2023	https://tmssl.akamaized.net/images/portrait/header/258027-1540568569.jpg?lm=1540568582
Rafinha	33947	None	Londrina	34	1,72 m	Brazil	Right-Back	None	Jul 1, 2019	31.12.2021	https://tmssl.akamaized.net/images/portrait/header/33947-1540568346.jpg?lm=1540568363
Franck ribéry	22068	None	Boulogne-sur-Mer	37	1,70 m	France	Left Winger	None	Aug 21, 2019	30.06.2021	https://tmssl.akamaized.net/images/portrait/header/22068-1540568847.jpg?lm=1540568879
Arjen robben	4360	None	Bedum	36	1,80 m	Netherlands	Right Winger	None	None	None	https://tmssl.akamaized.net/images/portrait/header/4360-1540568808.jpg?lm=1540568825
James rodríguez	88103	None	Cúcuta	28	1,81 m	Colombia	Attacking Midfield	None	Jul 22, 2014	30.06.2021	https://tmssl.akamaized.net/images/portrait/header/88103-1540568385.jpg?lm=1540568399
Mats hummels	39728	None	Bergisch Gladbach	31	1,91 m	Germany	Centre-Back	None	Jul 1, 2019	30.06.2022	https://tmssl.akamaized.net/images/portrait/header/39728-1540568020.jpg?lm=1540568039
Nico schulz	85867	None	Berlin	27	1,80 m	Germany	Left-Back	None	Jul 1, 2019	30.06.2024	https://tmssl.akamaized.net/images/portrait/header/85867-1532693465.jpg?lm=1532693537
Thorgan hazard	102226	None	La Louvière	27	1,75 m	Belgium	Left Winger	None	Jul 1, 2019	30.06.2024	https://tmssl.akamaized.net/images/portrait/header/102226-1501486952.jpg?lm=1501486982
Julian brandt	187492	None	Bremen	24	1,85 m	Germany	Central Midfield	None	Jul 1, 2019	30.06.2024	https://tmssl.akamaized.net/images/portrait/header/187492-1473754762.JPG?lm=1473754848
Paco alcácer	126716	None	Torrent	26	1,75 m	Spain	Centre-Forward	None	Jan 30, 2020	30.06.2025	https://tmssl.akamaized.net/images/portrait/header/126716-1567086685.jpg?lm=1567086741
Erling haaland	418560	None	Leeds	19	1,94 m	Norway	Centre-Forward	None	Jan 1, 2020	30.06.2024	https://tmssl.akamaized.net/images/portrait/header/418560-1565701062.jpg?lm=1565701087
Emre can	119296	None	Frankfurt am Main	26	1,86 m	Germany	Defensive Midfield	None	Jan 31, 2020	30.06.2024	https://tmssl.akamaized.net/images/portrait/header/119296-1567162394.jpg?lm=1567162414
Mateu morey	388513	None	Palma de Mallorca	20	1,73 m	Spain	Right-Back	None	Jul 1, 2019	30.06.2024	https://tmssl.akamaized.net/images/portrait/header/388513-1567086544.jpg?lm=1567086645
Tobias raschl	384745	None	Düsseldorf	20	1,77 m	Germany	Defensive Midfield	None	Jul 1, 2019	30.06.2022	https://tmssl.akamaized.net/images/portrait/header/384745-1566475424.jpg?lm=1566475458
Giovanni reyna	504215	None	Durham	17	1,83 m	United States	Attacking Midfield	None	Jan 12, 2020	30.06.2021	https://tmssl.akamaized.net/images/portrait/header/504215-1582125211.jpg?lm=1582125229
Luca unbehaun	388815	None	Bochum	19	1,85 m	Germany	Goalkeeper	None	Jul 1, 2019	30.06.2022	https://tmssl.akamaized.net/images/portrait/header/388815-1566475337.jpg?lm=1566475371
Felix passlack	274461	None	Bottrop	22	1,70 m	Germany	Right-Back	None	Jul 2, 2019	30.06.2020	https://tmssl.akamaized.net/images/portrait/header/274461-1502448330.jpg?lm=1502448418
Alexander isak	349066	None	Solna	20	1,90 m	Sweden	Centre-Forward	None	Jul 1, 2019	30.06.2024	https://tmssl.akamaized.net/images/portrait/header/349066-1581072119.jpg?lm=1581072134
Sebastian rode	44466	None	Seeheim-Jugenheim	29	1,79 m	Germany	Central Midfield	None	Jul 27, 2019	30.06.2024	https://tmssl.akamaized.net/images/portrait/header/44466-1534236298.jpg?lm=1534236372
Jeremy toljan	129674	None	Stuttgart	25	1,82 m	Germany	Right-Back	None	Jul 11, 2019	30.06.2020	https://tmssl.akamaized.net/images/portrait/header/129674-1534236483.jpg?lm=1534236536
André schürrle	58205	None	Ludwigshafen am ...	29	1,84 m	Germany	Left Winger	None	Jul 31, 2019	30.06.2020	https://tmssl.akamaized.net/images/portrait/header/58205-1564761236.png?lm=1564761249
Shinji kagawa	81785	None	Kobe, Hyogo	31	1,75 m	Japan	Attacking Midfield	None	Aug 9, 2019	30.06.2021	https://tmssl.akamaized.net/images/portrait/header/81785-1534235966.jpg?lm=1534236059
Abdou diallo	229005	None	Tours	24	1,87 m	France	Centre-Back	None	Jul 16, 2019	30.06.2024	https://tmssl.akamaized.net/images/portrait/header/229005-1534235778.jpg?lm=1534235857
Julian weigl	196792	None	Bad Aibling	24	1,86 m	Germany	Defensive Midfield	None	Jan 1, 2020	30.06.2024	https://tmssl.akamaized.net/images/portrait/header/196792-1581679411.png?lm=1581679425
Maximilian philipp	143891	None	Berlin	26	1,83 m	Germany	Second Striker	None	Aug 9, 2019	30.06.2023	https://tmssl.akamaized.net/images/portrait/header/143891-1568868017.png?lm=1568868025
Jacob bruun larsen	293281	None	Lyngby	21	1,83 m	Denmark	Left Winger	None	Jan 31, 2020	30.06.2024	https://tmssl.akamaized.net/images/portrait/header/293281-1534235750.jpg?lm=1534235801
Ömer toprak	43512	None	Ravensburg	30	1,87 m	Turkey	Centre-Back	None	Aug 11, 2019	30.06.2020	https://tmssl.akamaized.net/images/portrait/header/43512-1571745392.jpg?lm=1571745410
Marius wolf	193900	None	Coburg	25	1,87 m	Germany	Right Winger	None	Sep 2, 2019	30.06.2020	https://tmssl.akamaized.net/images/portrait/header/193900-1534236504.jpg?lm=1534236636
Sergio gómez	366930	None	Badalona	19	1,71 m	Spain	Attacking Midfield	None	Aug 12, 2019	30.06.2020	https://tmssl.akamaized.net/images/portrait/header/366930-1534235932.jpg?lm=1534235975
Christian pulisic	315779	None	Hershey, ...	21	1,72 m	United States	Left Winger	None	Jan 2, 2019	30.06.2024	https://tmssl.akamaized.net/images/portrait/header/315779-1534236289.jpg?lm=1534236350
