Player Id	Season	Fee	Market Value	Team A	Team B	ID Team A	ID Team B
281963	19/20	€80.00m	€70.00m	Atlético Madrid	Bayern Munich 	13	27
281963	15/16	-	-	Atl. Madrid B	Atlético Madrid	3679	13
281963	14/15	-	-	Atl. Madrid U19	Atl. Madrid B	31506	3679
281963	12/13	-	-	Atlético Juv. B	Atl. Madrid U19	14734	31506
281963	11/12	-	-	Atlético Youth	Atlético Juv. B	70320	14734
281963	07/08	Free transfer	-	CF Rayo Majadaho	Atlético Youth	62871	70320
353366	19/20	€35.00m	€30.00m	VfB Stuttgart	Bayern Munich 	79	27
353366	16/17	€5.00m	€800Th.	LOSC Lille	VfB Stuttgart	1082	79
353366	15/16	-	-	LOSC Lille B	LOSC Lille	12765	1082
353366	14/15	-	-	LOSC Lille U19	LOSC Lille B	7875	12765
344600	19/20	€12.00m	€5.00m	Bor. M'gladbach	Bayern Munich 	18	27
344600	17/18	€250Th.	-	AS Nancy U19	Bor. M'gladbach	10841	18
80444	19/20	End of loan	€56.00m	Bayern Munich 	FC Barcelona	27	131
80444	19/20	Loan fee:	€90.00m	FC Barcelona	Bayern Munich 	131	27
80444	17/18	€145.00m	€90.00m	Liverpool	FC Barcelona	31	131
80444	12/13	€13.00m	€9.00m	Inter	Liverpool	46	31
80444	11/12	End of loan	€7.00m	Espanyol	Inter	714	46
80444	11/12	Loan	€8.00m	Inter	Espanyol	46	714
80444	09/10	End of loan	€2.50m	Vasco da Gama	Inter	978	46
80444	08/09	Loan	-	Inter	Vasco da Gama	46	978
80444	08/09	€3.80m	-	Vasco U17	Inter	15036	46
42460	19/20	End of loan	€17.50m	Bayern Munich 	Inter	27	46
42460	19/20	Loan fee:	€30.00m	Inter	Bayern Munich 	46	27
42460	15/16	€19.00m	€13.00m	VfL Wolfsburg	Inter	82	46
42460	12/13	€8.00m	€7.00m	Bor. Dortmund	VfL Wolfsburg	16	82
42460	11/12	€5.50m	€6.00m	Club Brugge	Bor. Dortmund	2282	16
42460	09/10	€200Th.	€1.00m	FC Sochaux	Club Brugge	750	2282
42460	08/09	End of loan	€600Th.	KSV Roeselare	FC Sochaux	2977	750
42460	08/09	Loan	€100Th.	FC Sochaux	KSV Roeselare	750	2977
42460	08/09	-	€325Th.	FC Sochaux B	FC Sochaux	10825	750
42460	06/07	€360Th.	-	Hajduk U17	FC Sochaux B	36344	10825
42460	04/05	-	-	Hajduk Yth.	Hajduk U17	36360	36344
343337	19/20	€3.00m	€4.00m	Hamburger SV	Bayern Munich 	41	27
343337	17/18	-	€300Th.	Hamburg U17	Hamburger SV	21063	41
343337	15/16	-	-	Hamburg Yth.	Hamburg U17	12786	21063
343337	10/11	Free transfer	-	Wahlstedt Yth.	Hamburg Yth.	51176	12786
280730	19/20	End of loan	€16.00m	Bayern Munich 	Real Madrid	27	418
280730	19/20	Loan	€20.00m	Real Madrid	Bayern Munich 	418	27
280730	18/19	€30.00m	€25.00m	Real Sociedad	Real Madrid	681	418
